model,condition,block,rep,new_tokens,tokens_per_s,wh_per_1k_tokens,model_mem_mb,perplexity,throttle,ok
Qwen/Qwen2.5-0.5B-Instruct,fp16,0,0,512,29.5,0.3566,1004,22.05,none,True
Qwen/Qwen2.5-0.5B-Instruct,fp16,0,1,512,30.5,0.35,1004,22.05,none,True
Qwen/Qwen2.5-0.5B-Instruct,fp16,0,2,512,31.2,0.3478,1004,22.05,none,True
Qwen/Qwen2.5-0.5B-Instruct,fp16,0,3,512,30.8,0.3527,1004,22.05,none,True
Qwen/Qwen2.5-0.5B-Instruct,fp16,1,0,512,31.1,0.3739,994,22.05,none,True
Qwen/Qwen2.5-0.5B-Instruct,fp16,1,1,512,29.7,0.3945,994,22.05,none,True
Qwen/Qwen2.5-0.5B-Instruct,fp16,1,2,512,31.1,0.3818,994,22.05,none,True
Qwen/Qwen2.5-0.5B-Instruct,fp16,1,3,512,31.4,0.3798,994,22.05,none,True
Qwen/Qwen2.5-0.5B-Instruct,nf4,0,0,512,17.4,0.5651,468,27.39,none,True
Qwen/Qwen2.5-0.5B-Instruct,nf4,0,1,512,15.7,0.6316,468,27.39,none,True
Qwen/Qwen2.5-0.5B-Instruct,nf4,0,2,512,18.9,0.5399,468,27.39,none,True
Qwen/Qwen2.5-0.5B-Instruct,nf4,0,3,512,19.1,0.5363,468,27.39,none,True
Qwen/Qwen2.5-0.5B-Instruct,nf4,1,0,512,18.9,0.5447,468,27.39,none,True
Qwen/Qwen2.5-0.5B-Instruct,nf4,1,1,512,18.8,0.5514,468,27.39,none,True
Qwen/Qwen2.5-0.5B-Instruct,nf4,1,2,512,18.8,0.5553,468,27.39,none,True
Qwen/Qwen2.5-0.5B-Instruct,nf4,1,3,512,19.0,0.5542,468,27.39,none,True
Qwen/Qwen2.5-1.5B-Instruct,fp16,0,0,512,25.7,0.7096,3095,11.82,sw_power_cap,True
Qwen/Qwen2.5-1.5B-Instruct,fp16,0,1,512,25.6,0.7134,3095,11.82,none,True
Qwen/Qwen2.5-1.5B-Instruct,fp16,0,2,512,25.0,0.7249,3095,11.82,sw_power_cap,True
Qwen/Qwen2.5-1.5B-Instruct,fp16,0,3,512,25.7,0.7124,3095,11.82,none,True
Qwen/Qwen2.5-1.5B-Instruct,fp16,1,0,512,26.4,0.6971,3095,11.82,sw_power_cap,True
Qwen/Qwen2.5-1.5B-Instruct,fp16,1,1,512,25.3,0.7248,3095,11.82,sw_power_cap,True
Qwen/Qwen2.5-1.5B-Instruct,fp16,1,2,512,26.5,0.7014,3095,11.82,sw_power_cap,True
Qwen/Qwen2.5-1.5B-Instruct,fp16,1,3,512,25.4,0.7288,3095,11.82,sw_power_cap,True
Qwen/Qwen2.5-1.5B-Instruct,nf4,0,0,512,16.2,0.7236,1164,13.42,none,True
Qwen/Qwen2.5-1.5B-Instruct,nf4,0,1,512,15.8,0.7436,1164,13.42,none,True
Qwen/Qwen2.5-1.5B-Instruct,nf4,0,2,512,16.4,0.7114,1164,13.42,none,True
Qwen/Qwen2.5-1.5B-Instruct,nf4,0,3,512,16.2,0.7201,1164,13.42,none,True
Qwen/Qwen2.5-1.5B-Instruct,nf4,1,0,512,16.4,0.6977,1164,13.42,none,True
Qwen/Qwen2.5-1.5B-Instruct,nf4,1,1,512,16.1,0.7109,1164,13.42,none,True
Qwen/Qwen2.5-1.5B-Instruct,nf4,1,2,512,16.4,0.6897,1164,13.42,none,True
Qwen/Qwen2.5-1.5B-Instruct,nf4,1,3,512,16.3,0.698,1164,13.42,none,True
Qwen/Qwen2.5-3B-Instruct,fp16,0,0,512,17.2,1.0016,6190,11.83,sw_power_cap,True
Qwen/Qwen2.5-3B-Instruct,fp16,0,1,512,18.8,0.9905,6190,11.83,sw_power_cap,True
Qwen/Qwen2.5-3B-Instruct,fp16,0,2,512,19.2,0.9777,6190,11.83,sw_power_cap,True
Qwen/Qwen2.5-3B-Instruct,fp16,0,3,512,19.5,0.962,6190,11.83,sw_power_cap,True
Qwen/Qwen2.5-3B-Instruct,fp16,1,0,512,20.0,0.9401,6180,11.83,sw_power_cap,True
Qwen/Qwen2.5-3B-Instruct,fp16,1,1,512,19.9,0.9493,6180,11.83,sw_power_cap,True
Qwen/Qwen2.5-3B-Instruct,fp16,1,2,512,19.8,0.9499,6180,11.83,sw_power_cap,True
Qwen/Qwen2.5-3B-Instruct,fp16,1,3,512,19.3,0.9731,6180,11.83,sw_power_cap,True
Qwen/Qwen2.5-3B-Instruct,nf4,0,0,512,11.1,0.9911,2074,13.67,none,True
Qwen/Qwen2.5-3B-Instruct,nf4,0,1,512,12.1,0.9411,2074,13.67,none,True
Qwen/Qwen2.5-3B-Instruct,nf4,0,2,512,12.3,0.9265,2074,13.67,none,True
Qwen/Qwen2.5-3B-Instruct,nf4,0,3,512,12.4,0.97,2074,13.67,none,True
Qwen/Qwen2.5-3B-Instruct,nf4,1,0,512,12.3,0.9586,2074,13.67,none,True
Qwen/Qwen2.5-3B-Instruct,nf4,1,1,512,12.4,0.9502,2074,13.67,none,True
Qwen/Qwen2.5-3B-Instruct,nf4,1,2,512,12.3,0.9462,2074,13.67,none,True
Qwen/Qwen2.5-3B-Instruct,nf4,1,3,512,12.4,0.9345,2074,13.67,none,True
